session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-03-20,13:00,CRCLUSDT,SHORT,126.6,128.9159,121.9681,6.5051,14.0,14.0254,0.0293,0.0039,0.0254,0.2461,session_close,126.6,128.51,0.026592,ob_prox
2026-03-23,13:30,CRCLUSDT,LONG,123.97,122.1606,127.5888,8.1532,14.0,14.1674,0.1723,0.0049,0.1674,1.448,session_close,122.54,123.97,0.013602,ob_prox
2026-03-24,11:30,CRCLUSDT,SHORT,103.63,107.2233,96.4434,3.432,14.0,14.0704,0.0725,0.0021,0.0704,0.6095,session_close,103.63,106.77,0.018091,ob_prox
2026-03-25,10:30,CRCLUSDT,SHORT,104.43,110.653,91.9839,1.997,14.0,14.007,0.0082,0.0012,0.007,0.0691,session_close,104.43,110.2,0.014916,ob_prox
2026-03-26,13:45,CRCLUSDT,SHORT,98.6,99.9887,95.8226,8.4491,14.0,14.0155,0.0206,0.0051,0.0155,0.1728,session_close,98.6,99.54,0.009511,ob_prox
2026-03-27,10:15,CRCLUSDT,SHORT,93.66,95.5534,89.8732,5.8866,14.0,13.9896,-0.0069,0.0035,-0.0104,-0.0581,session_close,93.66,95.1,0.016586,ob_prox
2026-03-30,12:45,CRCLUSDT,SHORT,91.88,93.0051,89.6297,9.7176,14.0,14.2322,0.238,0.0058,0.2322,2.0,win,91.88,92.6,0.019673,ob_prox
2026-03-31,15:15,CRCLUSDT,SHORT,95.06,97.6472,89.8856,4.3723,14.0,13.9758,-0.0216,0.0026,-0.0242,-0.1817,session_close,95.06,97.24,0.015122,ob_prox
2026-04-02,10:45,CRCLUSDT,LONG,86.77,85.1687,89.9727,6.4481,14.0,14.2341,0.238,0.0039,0.2341,2.0,win,85.58,86.77,0.029608,ob_prox
2026-04-08,13:45,CRCLUSDT,SHORT,95.14,96.0056,93.4089,13.08,14.0,14.2302,0.238,0.0078,0.2302,2.0,win,95.14,95.65,0.009167,ob_prox
2026-04-09,13:15,CRCLUSDT,SHORT,89.08,90.4748,86.2903,7.5998,14.0,14.2334,0.238,0.0046,0.2334,2.0,win,89.08,90.11,0.027757,ob_prox
2026-04-13,10:15,CRCLUSDT,LONG,95.58,93.4217,99.8965,5.27,14.0,14.16,0.1632,0.0032,0.16,1.3715,session_close,93.77,95.58,0.098639,ob_prox
2026-04-14,11:00,CRCLUSDT,SHORT,107.15,110.7432,99.9636,3.5486,14.0,14.0519,0.054,0.0021,0.0519,0.4536,session_close,107.15,110.38,0.01175,ob_prox
2026-04-15,09:30,CRCLUSDT,SHORT,107.32,108.7076,104.5448,9.2036,14.0,14.2325,0.238,0.0055,0.2325,2.0,win,107.32,108.35,0.019573,ob_prox
2026-04-17,10:00,CRCLUSDT,SHORT,109.17,111.6311,104.2479,5.2787,14.0,14.2348,0.238,0.0032,0.2348,2.0,win,109.17,111.27,0.027017,ob_prox
2026-04-20,11:30,CRCLUSDT,LONG,101.32,98.9303,106.0994,5.0455,14.0,14.235,0.238,0.003,0.235,2.0,win,99.26,101.32,0.009491,ob_prox
2026-04-21,09:30,CRCLUSDT,SHORT,103.87,105.308,100.9941,8.5959,14.0,14.2328,0.238,0.0052,0.2328,2.0,win,103.87,104.96,0.018092,ob_prox
2026-04-22,12:00,CRCLUSDT,SHORT,103.75,105.6915,99.867,6.3591,14.0,13.9564,-0.0398,0.0038,-0.0436,-0.3348,session_close,103.75,105.34,0.012262,ob_prox
2026-04-27,10:45,CRCLUSDT,SHORT,97.5,98.7997,94.9005,8.9268,14.0,14.2326,0.238,0.0054,0.2326,2.0,win,97.5,98.49,0.009747,ob_prox
2026-04-28,09:30,CRCLUSDT,LONG,92.9,92.0774,94.5452,13.439,14.0,14.2299,0.238,0.0081,0.2299,2.0,win,92.38,92.9,0.025336,ob_prox
2026-04-30,12:15,CRCLUSDT,SHORT,92.05,93.1856,89.7788,9.646,14.0,14.1199,0.1257,0.0058,0.1199,1.0567,session_close,92.05,92.88,0.008438,ob_prox
2026-05-07,09:45,CRCLUSDT,SHORT,117.07,120.9218,109.3664,3.6168,14.0,14.1112,0.1134,0.0022,0.1112,0.9528,session_close,117.07,120.5,0.019354,ob_prox
2026-05-08,10:45,CRCLUSDT,LONG,111.85,108.6016,118.3468,4.0974,14.0,14.044,0.0465,0.0025,0.044,0.391,session_close,109.02,111.85,0.019478,ob_prox
2026-05-11,13:30,CRCLUSDT,LONG,128.82,125.8998,134.6604,5.2495,14.0,14.1134,0.1165,0.0031,0.1134,0.9794,session_close,126.35,128.82,0.0086,ob_prox
2026-05-14,11:00,CRCLUSDT,LONG,120.88,118.2584,126.1232,5.487,14.0,14.2347,0.238,0.0033,0.2347,2.0,win,118.77,120.88,0.017447,ob_prox
2026-05-15,15:15,CRCLUSDT,SHORT,116.2,118.567,111.466,5.8419,14.0,14.1016,0.1051,0.0035,0.1016,0.883,session_close,116.2,118.05,0.012367,ob_prox
2026-05-19,09:30,CRCLUSDT,LONG,109.58,108.3022,112.1357,10.2047,14.0,14.2319,0.238,0.0061,0.2319,2.0,win,108.75,109.58,0.021978,ob_prox
2026-05-20,11:00,CRCLUSDT,LONG,111.95,110.4478,114.9545,8.8681,14.0,13.9749,-0.0198,0.0053,-0.0251,-0.1664,session_close,110.88,111.95,0.011511,ob_prox
2026-05-26,14:15,CRCLUSDT,SHORT,105.89,106.9635,103.7429,11.7377,14.0,14.1615,0.1685,0.007,0.1615,1.4159,session_close,105.89,106.58,0.017957,ob_prox
2026-06-01,11:15,CRCLUSDT,LONG,106.21,104.3983,109.8334,6.9764,14.0,13.9176,-0.0782,0.0042,-0.0824,-0.6568,session_close,104.75,106.21,0.024707,ob_prox
2026-06-02,09:45,CRCLUSDT,SHORT,100.56,103.0798,95.5204,4.749,14.0,13.8782,-0.119,0.0028,-0.1218,-1.0,loss,100.56,102.73,0.023932,ob_prox
2026-06-04,15:30,CRCLUSDT,SHORT,91.23,92.2182,89.2536,10.9858,14.0,14.0428,0.0494,0.0066,0.0428,0.4149,session_close,91.23,91.84,0.009811,ob_prox
2026-06-05,10:45,CRCLUSDT,SHORT,83.19,84.8767,79.8167,5.8693,14.0,14.2345,0.238,0.0035,0.2345,2.0,win,83.19,84.48,0.028785,ob_prox
2026-06-11,09:45,CRCLUSDT,LONG,80.58,79.2421,83.2558,7.1672,14.0,14.2337,0.238,0.0043,0.2337,2.0,win,79.61,80.58,0.02753,ob_prox
2026-06-18,09:30,CRCLUSDT,SHORT,81.23,82.0196,79.6507,12.2414,14.0,14.2307,0.238,0.0073,0.2307,2.0,win,81.23,81.69,0.035754,ob_prox
2026-06-22,12:00,CRCLUSDT,SHORT,80.42,81.4741,78.3119,9.0792,14.0,14.051,0.0564,0.0054,0.051,0.4744,session_close,80.42,81.19,0.013179,ob_prox
