day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-06-25,COIN,09:40,down,146.84,153.86,153.86,148.17,3.87,86.4,86.4,0.54,+,-0.46,-,0.45,+,N
2026-06-25,COIN,09:45,down,146.05,153.86,153.86,146.5,5.04,86.5,86.5,0.81,+,-1.8,-,-0.24,-,N
2026-06-25,COIN,09:50,down,144.86,153.86,153.86,145.2,5.98,86.6,86.6,0.26,+,-2.22,-,-0.87,-,N
2026-06-25,COIN,14:10,down,144.33,153.86,153.86,144.43,6.53,86.6,86.6,-0.24,-,0.28,+,1.45,+,N
2026-06-25,COIN,14:30,down,143.93,147.4,147.4,144.23,2.2,86.7,86.7,0.16,+,0.19,+,0.83,+,N
2026-06-25,COIN,14:35,down,143.7,145.77,145.77,143.93,1.28,86.8,86.8,0.47,+,0.25,+,0.68,+,N
2026-06-25,COIN,14:40,down,143.03,145.77,145.77,143.48,1.6,86.8,86.8,-0.08,-,0.21,+,0.21,+,N
2026-06-25,COIN,15:00,down,142.73,145.77,145.77,142.99,1.95,86.9,86.9,0.08,+,0.36,+,0.0,-,N
2026-06-25,COIN,15:05,down,142.61,145.77,145.77,142.65,2.19,87.0,87.0,0.29,+,0.22,+,-0.08,-,N
2026-06-25,COIN,15:10,down,142.2,145.77,145.77,142.48,2.31,87.0,87.0,0.18,+,-0.11,-,-0.37,-,N
2026-06-25,COIN,15:15,down,141.95,145.77,145.77,142.01,2.65,87.1,87.1,-0.18,-,-0.16,-,-0.55,-,N
2026-06-26,COIN,09:40,up,143.93,139.11,143.32,139.11,2.93,82.3,82.3,0.57,+,1.83,+,2.29,+,N
2026-06-26,COIN,09:45,up,144.75,139.11,144.32,139.11,3.6,82.4,82.4,0.35,+,0.95,+,1.91,+,N
2026-06-26,COIN,09:50,up,145.26,139.11,145.22,139.11,4.21,82.6,82.6,1.21,+,0.3,+,1.9,+,N
2026-06-26,COIN,09:55,up,147.02,139.11,145.34,139.11,4.24,82.7,82.7,-0.31,-,-1.03,-,1.1,+,N
2026-06-26,COIN,11:05,up,147.27,139.11,147.1,139.11,5.43,82.8,82.8,-0.32,-,0.16,+,1.22,+,N
2026-06-26,COIN,11:30,up,148.02,139.11,147.86,139.11,5.91,82.9,82.9,0.42,+,-0.03,-,0.95,+,N
2026-06-26,COIN,11:35,up,148.64,142.3,148.14,142.3,3.93,83.0,83.0,0.39,+,-0.04,-,0.09,+,N
2026-06-26,COIN,11:40,up,149.22,143.3,148.67,143.3,3.6,83.1,83.1,-0.48,-,-0.19,-,-0.42,-,N
2026-06-26,COIN,13:00,up,149.59,144.48,149.32,144.48,3.24,83.3,83.3,0.09,+,-0.66,-,-1.59,-,N
2026-06-29,COIN,10:10,down,145.75,152.49,152.49,147.23,3.61,86.0,86.0,-0.75,-,-2.1,-,-1.76,-,N
2026-06-30,COIN,09:35,down,144.96,152.49,152.49,145.4,4.89,86.0,86.0,-0.37,-,-1.32,-,1.05,+,N
2026-06-30,COIN,10:50,down,143.42,148.96,148.96,144.27,3.27,86.1,86.1,0.17,+,-0.29,-,-1.34,-,N
2026-06-30,COIN,10:55,down,143.18,148.95,148.95,143.36,3.9,86.2,86.2,0.28,+,-0.18,-,-1.35,-,N
2026-07-01,COIN,09:40,up,151.13,144.59,150.24,144.59,3.74,81.4,81.4,0.3,+,2.29,+,7.13,+,N
2026-07-01,COIN,09:45,up,151.58,144.59,151.3,144.59,4.43,81.5,81.5,0.53,+,2.99,+,6.5,+,N
